1096	164	12	0,15	37	0
1086	224	11	0,01	17	0
1064	233	9	0,1	31	0
1046	-104	9	0,46	91	0
1023	141	12	0,04	159	0
993	229	16	0,58	123	0
990	127	9	0,14	124	0
981	394	12	0,28	169	0
980	139	10	0,15	62	0
922	447	10	0,18	48	0
910	-174	10	0,4	60	0
901	-433	9	0,43	135	0
903	318	9	0,61	31	0
882	274	10	0,28	5	0
840	-613	10	0,44	23	0
840	232	10	0,1	117	0
838	-389	12	0,12	105	0
771	212	16	0,47	94	0
729	171	10	0,57	151	0
728	382	10	0,72	16	0
725	64	13	0,37	63	0
711	-325	11	0,07	82	0
710	-830	9	0,29	30	0
701	-884	10	0,56	46	0
684	110	10	0,1	47	0
683	-710	11	0,3	116	0
681	381	9	0,39	22	0
674	148	10	0,46	34	0
646	465	12	0,19	14	0
623	-302	11	0,41	114	0
606	-640	10	0,36	27	0
589	-615	15	0,44	12	0
587	-112	11	0,64	78	0
582	514	11	0,38	32	0
574	-460	11	0,19	68	0
574	288	15	0,52	42	0
560	-961	11	0,15	85	0
540	549	12	0,41	56	0
511	285	11	0,65	32	0
510	-61	10	0,29	55	0
455	-21	12	0,74	111	0
452	-781	10	0,45	133	0
448	-747	12	0,16	69	0
435	-117	12	0,07	62	0
427	330	12	0,3	44	0
417	-35	10	0,42	54	0
398	-95	12	0,31	123	0
382	-113	15	0,5	48	0
375	-17	10	0,38	141	0
365	-728	10	0,39	101	0
365	328	11	0,14	130	0
363	-473	10	0,32	116	0
358	-953	10	0,04	168	0
358	-696	10	0,16	160	0
342	425	12	0,23	14	0
324	-1028	11	0,25	30	0
320	477	9	0,21	149	0
308	-326	12	0,17	65	0
260	144	11	0,28	113	0
259	181	11	0,58	37	0
240	-360	12	0,09	108	0
234	702	10	0,38	159	0
209	-448	9	0,08	5	0
199	-839	11	0,01	78	0
190	-1082	11	0,37	36	0
181	251	11	0,64	94	0
179	-203	12	0,5	89	0
168	-212	11	0,09	130	0
157	289	12	0,6	36	0
157	-689	12	0,48	108	0
150	262	11	0,16	142	0
144	784	11	0,32	76	0
126	-981	10	0,33	135	0
116	216	9	0,16	25	0
114	-184	10	0,34	81	0
110	-438	10	0,17	106	0
103	419	11	0,53	69	0
102	-415	10	0,42	152	0
102	-317	10	0,3	109	0
79	-527	12	0,56	90	0
62	-562	10	0,4	57	0
57	842	10	0,39	161	0
56	325	9	0,63	114	0
52	-73	11	0,38	123	0
49	-489	11	0,21	68	0
46	845	9	0,08	142	0
45	-352	10	0,27	38	0
41	-809	9	0,15	180	0
37	-107	9	0,36	153	0
36	1060	11	0,63	161	0
21	555	9	0,22	153	0
19	10	10	0,52	55	0
7	-596	10	0,34	85	0
0	-157	13	0,49	52	0
-6	146	12	0,24	7	0
-11	-151	10	0,5	48	0
-12	1007	10	0,41	79	0
-22	-562	11	0,33	177	0
-24	483	10	0,14	120	0
-30	-948	12	0,22	131	0
-31	192	11	0,52	164	0
-32	-241	11	0,29	120	0
-33	-622	11	0,53	80	0
-35	684	9	0,19	101	0
-35	170	10	0,22	51	0
-35	-535	10	0,14	46	0
-37	-157	13	0,37	35	0
-39	212	9	0,11	49	0
-40	357	13	0,25	64	0
-40	821	10	0,24	7	0
-44	54	12	0,52	12	0
-48	221	10	0,18	61	0
-49	995	10	0,55	117	0
-57	-174	9	0,45	141	0
-58	482	12	0,32	57	0
-64	-673	9	0,43	103	0
-67	-84	11	0,42	172	0
-67	80	10	0,41	145	0
-71	-228	10	0,1	73	0
-71	-173	11	0,15	126	0
-74	-34	10	0,13	94	0
-76	-183	9	0,38	43	0
-76	-109	9	0,04	34	0
-80	817	13	0,23	153	0
-80	532	10	0,13	102	0
-83	148	10	0,28	144	0
-87	283	10	0,07	54	0
-90	650	10	0,26	119	0
-91	-534	10	0,21	144	0
-95	751	13	0,47	4	0
-96	100	10	0,42	176	0
-97	169	9	0,51	149	0
-109	392	10	0,25	116	0
-110	19	12	0,6	106	0
-111	94	12	0,48	25	0
-112	930	11	0,27	2	0
-120	110	10	0,12	31	0
-123	-55	11	0,03	7	0
-123	-157	10	0,15	4	0
-136	323	10	0,11	83	0
-137	-43	9	0,43	177	0
-140	-1009	11	0,35	33	0
-142	278	10	0,23	91	0
-145	-189	12	0,19	117	0
-148	-142	10	0,42	83	0
-149	-69	12	0,18	143	0
-150	92	12	0,47	6	0
-151	784	13	0,57	33	0
-156	50	10	0,21	143	0
-164	121	9	0,42	6	0
-173	-238	11	0,34	58	0
-174	-400	12	0,12	63	0
-177	651	10	0,25	103	0
-179	-25	12	0,06	82	0
-180	-218	9	0,13	98	0
-184	-300	10	0,2	99	0
-194	-68	9	0,19	78	0
-196	-33	10	0,3	74	0
-218	-248	11	0,35	156	0
-218	-836	10	0,18	165	0
-228	269	9	0,17	42	0
-234	695	9	0,29	55	0
-238	984	10	0,29	167	0
-250	-579	10	0,29	178	0
-252	-677	13	0,09	136	0
-261	-357	9	0,09	116	0
-267	-649	9	0,49	142	0
-271	-488	10	0,31	32	0
-280	-593	12	0,57	93	0
-289	898	13	0,18	19	0
-289	-634	12	0,67	8	0
-290	973	12	0,76	78	0
-310	-81	11	0,57	128	0
-317	120	12	0,26	69	0
-318	-540	10	0,26	141	0
-321	453	10	0,49	130	0
-329	-181	10	0,41	70	0
-336	782	11	0,45	151	0
-344	-151	12	0,08	119	0
-352	-308	11	0,84	47	0
-356	1006	11	0,14	140	0
-358	860	14	0,15	99	0
